G o. </w>	Va </w> ! </w>
Is </w> he </w> dead? </w>	Est-il </w> mort </w> ? </w>
Is </w> he </w> dead? </w>	Est-il </w> décédé </w> ? </w>
Is </w> he </w> dead? </w>	Il </w> est </w> mort </w> ? </w>
Is </w> he </w> tall? </w>	Est-il </w> grand </w> ? </w>
Is </w> it </w> blue? </w>	Est-ce </w> bleu </w> ? </w>
Is </w> it </w> done? </w>	Est-ce </w> fait </w> ? </w>
Is </w> it </w> free? </w>	C'est </w> gratu it </w> ? </w>
Is </w> it </w> hard? </w>	Est-ce </w> difficile </w> ? </w>
Is </w> it </w> love? </w>	Est-ce </w> de </w> l'amour </w> ? </w>
Is </w> it </w> love? </w>	Est-ce </w> de </w> l'amour </w> ? </w>
Is </w> it </w> nice ? </w>	Est-ce </w> chouette </w> ? </w>
Is </w> it </w> safe? </w>	Est-ce </w> sûr </w> ? </w>
Is </w> it </w> safe? </w>	Est-ce </w> sans </w> danger </w> ? </w>
Is </w> it </w> safe? </w>	Est-ce </w> in offen sif </w> ? </w>
Is </w> it </w> time? </w>	Est-il </w> l'heure </w> ? </w>
Is </w> it </w> true? </w>	C'est </w> vrai </w> ? </w>
Is </w> that </w> it? </w>	Est-ce </w> cela </w> ? </w>
Is </w> that </w> so? </w>	En </w> va-t-il </w> ainsi </w> ? </w>
Is </w> that </w> so? </w>	En </w> est-il </w> ainsi </w> ? </w>
Is </w> that </w> so? </w>	Est-ce </w> le </w> cas </w> ? </w>
It </w> is </w> cold. </w>	Il </w> fait </w> froid. </w>
It </w> is </w> cold. </w>	C'est </w> froid. </w>
It </w> matters. </w>	Ça </w> im porte. </w>
It </w> matters. </w>	Ça </w> compte. </w>
It </w> matters. </w>	C'est </w> important. </w>
It </w> went </w> OK. </w>	Ça </w> s'est </w> bien </w> passé. </w>
It'll </w> work. </w>	Ça </w> fonctionner a. </w>
It'll </w> work. </w>	Ça </w> marcher a. </w>
It's </w> a </w> fa d. </w>	C'est </w> une </w> passa de. </w>
It's </w> a </w> fa d. </w>	C'est </w> une </w> to c ade. </w>
It's </w> a </w> fa d. </w>	C'est </w> un </w> ph é nom ène </w> de </w> mode. </w>
It's </w> awful. </w>	C'est </w> terrible. </w>
It's </w> awful. </w>	C'est </w> aff reux. </w>
It's </w> bo gu s. </w>	C'est </w> du </w> pi peau </w> tout </w> ça. </w>
It's </w> bul ky. </w>	C'est </w> encom br ant. </w>
It's </w> cheap. </w>	C'est </w> bon </w> marché. </w>
It's </w> clean. </w>	C'est </w> propre. </w>
It's </w> close. </w>	C'est </w> proche. </w>
It's </w> early. </w>	Il </w> est </w> tôt. </w>
It's </w> funny. </w>	C'est </w> marrant. </w>
It's </w> funny. </w>	C'est </w> drôle. </w>
It's </w> funny. </w>	C'est </w> rig olo . </w>
It's </w> green. </w>	C'est </w> vert. </w>
It's </w> my </w> CD. </w>	C'est </w> mon </w> CD. </w>
It's </w> night. </w>	Il </w> fait </w> nuit. </w>
It's </w> on </w> me. </w>	C'est </w> pour </w> moi. </w>
It's </w> phon y. </w>	C'est </w> du </w> pi peau </w> tout </w> ça. </w>
It's </w> quiet. </w>	C'est </w> silencieux. </w>
It's </w> quiet. </w>	C'est </w> calme. </w>
It's </w> ready. </w>	C'est </w> prêt. </w>
It's </w> right. </w>	C'est </w> juste. </w>
It's </w> sa fer. </w>	C'est </w> plus </w> sûr. </w>
It's </w> sweet. </w>	C'est </w> mignon. </w>
It's </w> sweet. </w>	C'est </w> gentil. </w>
It's </w> weird. </w>	C'est </w> bizarre. </w>
It's </w> wrong. </w>	C'est </w> faux. </w>
It's </w> yours. </w>	C'est </w> le </w> tien. </w>
It's </w> yours. </w>	C'est </w> la </w> tienne. </w>
It's </w> yours. </w>	C'est </w> la </w> vôtre. </w>
It's </w> yours. </w>	C'est </w> le </w> vôtre. </w>
Jesus </w> we pt. </w>	J és us </w> a </w> pleuré. </w>
Jesus </w> we pt. </w>	J és us </w> pleur a. </w>
Just </w> do </w> it. </w>	Fais-le </w> donc </w> ! </w>
Just </w> do </w> it. </w>	Fais-le , </w> tout </w> simplement </w> ! </w>
Just </w> do </w> it. </w>	Faites-le , </w> tout </w> simplement </w> ! </w>
Just </w> relax. </w>	Dé ten dez-vous . </w>
Just </w> relax. </w>	D étends -toi. </w>
Keep </w> quiet ! </w>	Reste </w> tranquille </w> ! </w>
Keep </w> quiet ! </w>	Restez </w> tranquille </w> ! </w>
Keep </w> quiet. </w>	Reste </w> tranquille. </w>
Keep </w> quiet. </w>	Restez </w> tranquille. </w>
Keep </w> quiet. </w>	Restez </w> tranqu illes. </w>
Keep </w> still. </w>	Reste </w> tranquille </w> ! </w>
Keep </w> still. </w>	Restez </w> tranquille </w> ! </w>
Let </w> him </w> go! </w>	Laisse-le </w> partir </w> ! </w>
Let </w> him </w> go! </w>	Laissez-le </w> partir </w> ! </w>
Let </w> him </w> go! </w>	Laisse-le </w> s'en </w> aller ! </w>
Let </w> him </w> go! </w>	Laissez-le </w> s'en </w> aller ! </w>
Let </w> him </w> go. </w>	Laisse-le </w> partir </w> ! </w>
Let </w> him </w> go. </w>	Laissez-le </w> partir </w> ! </w>
Let </w> him </w> go. </w>	Laisse-le </w> s'en </w> aller ! </w>
Let </w> him </w> go. </w>	Laissez-le </w> s'en </w> aller ! </w>
Let </w> him </w> in. </w>	Fais-le </w> entrer. </w>
Let </w> him </w> in. </w>	Laisse-le </w> entrer. </w>
Let </w> him </w> in. </w>	Laissez-le </w> entrer. </w>
Let </w> him </w> in. </w>	Faites-le </w> entrer. </w>
Let </w> me </w> die. </w>	Laissez-moi </w> mourir. </w>
Let </w> me </w> die. </w>	Laisse-moi </w> mourir. </w>
Let </w> me </w> out! </w>	Laisse-moi </w> sortir </w> ! </w>
Let </w> me </w> out! </w>	Laissez-moi </w> sortir </w> ! </w>
Let </w> me </w> pay. </w>	Laisse-moi </w> payer. </w>
Let </w> me </w> pay. </w>	Laissez-moi </w> payer. </w>
Let </w> me </w> see. </w>	Laissez-moi </w> voir. </w>
Let </w> me </w> try. </w>	Laisse-moi </w> essayer. </w>
Let </w> me </w> try. </w>	Laissez-moi </w> essayer. </w>
Let </w> me </w> try. </w>	Permettez-moi </w> d'essayer. </w>
Let </w> us </w> out. </w>	Laisse -nous </w> sortir </w> ! </w>
Let </w> us </w> out. </w>	Laissez -nous </w> sortir </w> ! </w>
Let's </w> chat. </w>	Discut ons. </w>
Let's </w> kiss. </w>	Em bras sons-nous . </w>
Let's </w> pr ay. </w>	Pr ions </w> ! </w>
Let's </w> talk. </w>	Discutons </w> ! </w>
Let's </w> work. </w>	Travai ll ons </w> ! </w>
L ighten </w> up. </w>	Re la xe </w> ! </w>
L ighten </w> up. </w>	D étends -toi </w> ! </w>
Look </w> again. </w>	Regarde </w> encore. </w>
Look </w> again. </w>	Regardez </w> à </w> nouveau. </w>
Look </w> at </w> it. </w>	Regardez -le </w> ! </w>
Look </w> at </w> it. </w>	Regarde -le </w> ! </w>
Look </w> at </w> me. </w>	Regarde -moi. </w>
Look </w> it </w> up. </w>	Cherche -le </w> ! </w>
Love </w> hurts. </w>	L'amour </w> bles se. </w>
Love </w> hurts. </w>	L'amour </w> fait </w> mal. </w>
Mama </w> cried. </w>	Maman </w> a </w> pleuré. </w>
Mama </w> cried. </w>	Maman </w> pleurait. </w>
Never </w> mind ! </w>	N'y </w> prête </w> pas </w> attention. </w>
Never </w> mind ! </w>	T' inquiète </w> pas. </w>
No </w> comment. </w>	Sans </w> commentaire. </w>
No </w> kidding? </w>	V rai ment </w> ? </w>
No </w> kidding? </w>	Sans </w> blague </w> ? </w>
No </w> problem ! </w>	Aucun </w> problème </w> ! </w>
No </w> problem ! </w>	Pas </w> de </w> problème </w> ! </w>
No </w> problem. </w>	Pas </w> de </w> problème. </w>
No </w> problem. </w>	Aucun </w> problème. </w>
No </w> problem. </w>	Ce </w> n'est </w> rien. </w>
No </w> problem. </w>	Sans </w> problème. </w>
Oh, </w> really ? </w>	Oh </w> ! </w> V rai ment </w> ? </w>
Once </w> again. </w>	En core </w> une </w> fois. </w>
Pick </w> it </w> up. </w>	Ram asse -le. </w>
Please </w> sit. </w>	Asseyez-vous , </w> je </w> vous </w> prie. </w>
Run </w> for </w> it! </w>	Sau ve -toi </w> ! </w>
Run </w> for </w> it! </w>	Sau vez-vous </w> ! </w>
Run </w> for </w> it! </w>	Prends </w> tes </w> jambes </w> à </w> ton </w> cou </w> ! </w>
Run </w> for </w> it! </w>	Prenez </w> vos </w> jambes </w> à </w> votre </w> cou </w> ! </w>
Run </w> for </w> it! </w>	Prenez </w> vos </w> jambes </w> à </w> vos </w> cous </w> ! </w>
Run </w> for </w> it! </w>	T aille z-vous </w> ! </w>
Run </w> for </w> it! </w>	T aille -toi </w> ! </w>
Run </w> for </w> it! </w>	F ile </w> ! </w>
Run </w> for </w> it! </w>	F ile z </w> ! </w>
Say </w> please. </w>	Dis </w> : </w> « </w> s'il </w> te </w> plaît </w> ». </w>
Say </w> please. </w>	Dites </w> : </w> « </w> s'il </w> vous </w> plaît </w> ». </w>
Sha dow </w> him. </w>	F ile -le </w> ! </w>
She </w> is </w> old. </w>	Elle </w> est </w> vieille. </w>
She </w> smiled. </w>	Elle </w> a </w> sour i. </w>
She's </w> busy. </w>	Elle </w> est </w> occupée. </w>
She's </w> nice. </w>	Elle </w> est </w> gentille. </w>
S me ll </w> this. </w>	S ens </w> ça. </w>
S me ll </w> this. </w>	Sen tez </w> ceci. </w>
Stand </w> back ! </w>	Re cu lez </w> ! </w>
Stand </w> back ! </w>	Re cu lez </w> ! </w>
Stand </w> back ! </w>	Re cule -toi </w> ! </w>
Stand </w> back ! </w>	Re cu lez-vous </w> ! </w>
Start </w> here. </w>	Commence z </w> ici. </w>
Start </w> here. </w>	Commence </w> ici. </w>
Stay </w> al ert. </w>	Restez </w> sur </w> vos </w> gard es. </w>
Stay </w> al ert. </w>	Reste </w> sur </w> tes </w> gard es. </w>
Stay </w> awake. </w>	Reste </w> debout. </w>
Stay </w> awake. </w>	Reste </w> éveillé. </w>
Stay </w> close. </w>	Reste </w> près. </w>
Stay </w> close. </w>	Restez </w> près. </w>
Stay </w> sharp. </w>	Reste </w> malin </w> ! </w>
Stay </w> still. </w>	Ne </w> bouge </w> pas. </w>
Step </w> aside. </w>	É carte -toi </w> ! </w>
Step </w> aside. </w>	É carte z-vous </w> ! </w>
Stop </w> lying. </w>	Arrête </w> de </w> mentir. </w>
Stop </w> lying. </w>	Arrêtez </w> de </w> mentir. </w>
Study </w> hard. </w>	Étudie </w> avec </w> application. </w>
Study </w> hard. </w>	Étu diez </w> avec </w> application. </w>
Take </w> a </w> bus. </w>	Prenez </w> un </w> bus. </w>
Take </w> a </w> nap. </w>	Fais </w> un </w> petit </w> somme </w> ! </w>
Take </w> cover ! </w>	Mets-toi </w> à </w> l' abri </w> ! </w>
Take </w> cover ! </w>	Mettez-vous </w> à </w> l' abri </w> ! </w>
Take </w> notes. </w>	Prends </w> des </w> notes. </w>
Take </w> notes. </w>	Prenez </w> des </w> notes. </w>
Talk </w> to </w> me! </w>	Parle-moi </w> ! </w>
Talk </w> to </w> me! </w>	Parle-moi </w> ! </w>
Talk </w> to </w> me! </w>	Parle z-moi </w> ! </w>
Talk </w> to </w> me. </w>	Parle </w> avec </w> moi. </w>
Talk </w> to </w> me. </w>	Parle z-moi </w> ! </w>
Talk </w> to </w> me. </w>	Parlez </w> avec </w> moi. </w>
Taste </w> this. </w>	Essayez </w> ceci </w> ! </w>
Taste </w> this. </w>	Go û te </w> ça. </w>
Taste </w> this. </w>	Go û tez </w> ceci. </w>
That </w> a </w> boy ! </w>	C'est </w> bien </w> ! </w>
That </w> a </w> boy ! </w>	T'es </w> un </w> bon </w> garçon </w> ! </w>
That </w> hurts. </w>	Ça </w> fait </w> mal. </w>
That </w> works. </w>	Ça </w> fonctionne. </w>
That's </w> all. </w>	C'est </w> tout. </w>
That's </w> fun. </w>	C'est </w> amusant. </w>
That's </w> fun. </w>	C'est </w> marrant. </w>
That's </w> her. </w>	C'est </w> elle. </w>
That's </w> his. </w>	Ce </w> sont </w> les </w> si ens. </w>
That's </w> his. </w>	C'est </w> le </w> sien. </w>
That's </w> his. </w>	C'est </w> la </w> sienne. </w>
That's </w> odd. </w>	C'est </w> bizarre. </w>
They </w> agree. </w>	Ils </w> sont </w> d'accord. </w>
They </w> agree. </w>	Elles </w> sont </w> d'accord. </w>
They </w> cheat. </w>	Ils </w> trich ent. </w>
They </w> cheat. </w>	Elles </w> trich ent. </w>
They </w> voted. </w>	Ils </w> ont </w> vo té. </w>
They </w> voted. </w>	Elles </w> ont </w> vo té. </w>
This </w> is </w> it. </w>	Ça </w> y </w> est. </w>
This </w> works. </w>	Ça </w> fonctionne. </w>
Time </w> flies. </w>	Le </w> temps </w> s'enfu it. </w>
Time </w> flies. </w>	Le </w> temps </w> s'en vo le. </w>
Time </w> is </w> up. </w>	Le </w> temps </w> est </w> écoulé. </w>
Time </w> is </w> up. </w>	L' heure </w> est </w> passée. </w>
Tom </w> agre es. </w>	Tom </w> est </w> d'accord. </w>
Tom </w> che ats. </w>	Tom </w> trich e. </w>
Tom </w> drinks. </w>	Tom </w> bo it. </w>
Tom </w> dri ves. </w>	Tom </w> condu it. </w>
Tom </w> forgot. </w>	Tom </w> a </w> oublié. </w>
Tom </w> forgot. </w>	Tom </w> oubli a. </w>
Tom </w> helped. </w>	Tom </w> a </w> aidé. </w>
Tom </w> helped. </w>	Tom </w> ai da. </w>
Tom </w> is </w> fat. </w>	Tom </w> est </w> gros. </w>
Tom </w> is </w> mad. </w>	Tom </w> est </w> fou. </w>
Tom </w> is </w> new. </w>	Tom </w> est </w> nouveau. </w>
Tom </w> is </w> sad. </w>	Tom </w> est </w> triste. </w>
Tom </w> jumped. </w>	Tom </w> saut a. </w>
Tom </w> looked. </w>	Tom </w> a </w> regardé . </w>
Tom </w> looked. </w>	Tom </w> regar da. </w>
Tom </w> nod ded. </w>	Tom </w> ho cha </w> la </w> tête. </w>
Tom </w> obe yed. </w>	Tom </w> obé it. </w>
Tom </w> obe yed. </w>	Tom </w> a </w> obé i. </w>
Tom </w> pain ts. </w>	Tom </w> pein t. </w>
Tom </w> sig hed. </w>	Tom </w> soup ira. </w>
Tom </w> smo kes. </w>	Tom </w> fu me. </w>
Tom </w> snor es. </w>	Tom </w> ron fle. </w>
Tom </w> stayed. </w>	Tom </w> est </w> rest é. </w>
Tom </w> talked. </w>	Tom </w> a </w> parlé. </w>
Tom </w> yaw ned. </w>	Tom </w> b aill a. </w>
Tom'll </w> cry. </w>	Tom </w> va </w> pleurer. </w>
Tom'll </w> pay. </w>	Tom </w> pai era. </w>
Tom's </w> dead. </w>	Tom </w> est </w> mort. </w>
Tom's </w> deaf. </w>	Tom </w> est </w> sour d. </w>
Tom's </w> died. </w>	Tom </w> est </w> mort. </w>
Tom's </w> fast. </w>	Tom </w> est </w> rapide. </w>
Tom's </w> free. </w>	Tom </w> est </w> libre. </w>
Tom's </w> glad. </w>	Tom </w> est </w> content. </w>
Tom's </w> glad. </w>	Tom </w> est </w> heureux. </w>
Tom's </w> glad. </w>	Tom </w> est </w> jo yeux. </w>
Tom's </w> gone. </w>	Tom </w> est </w> parti. </w>
Tom's </w> here. </w>	Tom </w> est </w> là. </w>
Tom's </w> here. </w>	Tom </w> est </w> ici. </w>
Tom's </w> home. </w>	Tom </w> est </w> chez </w> lui. </w>
Tom's </w> home. </w>	Tom </w> est </w> à </w> la </w> maison. </w>
Tom's </w> left. </w>	Tom </w> est </w> parti. </w>
Tom's </w> left. </w>	Tom </w> partit. </w>
Tom's </w> safe. </w>	Tom </w> est </w> en </w> sécurité. </w>
Tom's </w> weak. </w>	Tom </w> est </w> faible. </w>
Tom's </w> well. </w>	Tom </w> va </w> bien. </w>
T ough </w> luck ! </w>	T ant </w> pis </w> ! </w>
Turn </w> it </w> up. </w>	Monte -le. </w>
Turn </w> it </w> up. </w>	Montez -le. </w>
Turn </w> it </w> up. </w>	Au g mente -le. </w>
Turn </w> it </w> up. </w>	Au g mentez -le. </w>
Wait </w> a </w> bit. </w>	Attends </w> une </w> seconde </w> ! </w>
Wait </w> a </w> bit. </w>	Attends </w> un </w> peu. </w>
Wait </w> a </w> sec. </w>	Attends </w> une </w> seconde </w> ! </w>
Wait </w> a </w> sec. </w>	Attendez </w> une </w> seconde </w> ! </w>
We </w> all </w> die. </w>	Nous </w> mour ons </w> tous. </w>
We </w> all </w> die. </w>	Nous </w> mour ons </w> toutes. </w>
We </w> all </w> lie. </w>	Nous </w> ment ons </w> tous. </w>
We </w> are </w> men. </w>	Nous </w> sommes </w> des </w> hommes. </w>
We </w> buy </w> CDs. </w>	Nous </w> achet ons </w> des </w> CD. </w>
We </w> can </w> pay. </w>	Nous </w> pouvons </w> payer. </w>
We </w> can </w> try. </w>	Nous </w> pouvons </w> essayer. </w>
We </w> can </w> try. </w>	Nous </w> pouvons </w> tent er. </w>
We </w> can </w> win. </w>	Nous </w> pouvons </w> gagner. </w>
We </w> can </w> win. </w>	Nous </w> pouvons </w> l'emporter. </w>
We </w> like </w> it. </w>	Nous </w> l' appréc ions. </w>
We </w> made </w> it. </w>	Nous </w> l'avons </w> fait. </w>
We </w> made </w> it. </w>	Nous </w> l'avons </w> accompli . </w>
We </w> made </w> it. </w>	Nous </w> avons </w> réussi. </w>
We </w> must </w> go. </w>	Nous </w> devons </w> y </w> aller. </w>
We </w> must </w> go. </w>	Nous </w> devons </w> partir. </w>
We </w> must </w> go. </w>	Il </w> nous </w> faut </w> y </w> aller. </w>
We </w> must </w> go. </w>	Nous </w> devons </w> nous </w> en </w> aller. </w>
We </w> need </w> it. </w>	Nous </w> en </w> avons </w> besoin. </w>
We </w> saw </w> you. </w>	Nous </w> vous </w> avons </w> vu. </w>
We </w> saw </w> you. </w>	Nous </w> vous </w> avons </w> vue. </w>
We </w> saw </w> you. </w>	Nous </w> vous </w> avons </w> vues. </w>
We </w> saw </w> you. </w>	Nous </w> vous </w> avons </w> vus. </w>
We </w> saw </w> you. </w>	Nous </w> t'avons </w> vu. </w>
We </w> saw </w> you. </w>	Nous </w> t'avons </w> vue. </w>
We </w> want </w> it. </w>	Nous </w> le </w> voulons. </w>
We'll </w> cook. </w>	Nous </w> ferons </w> la </w> cuisine. </w>
We'll </w> fail. </w>	Nous </w> échou er ons. </w>
We'll </w> help. </w>	Nous </w> apporter ons </w> de </w> l'aide. </w>
We'll </w> obey. </w>	Nous </w> obéir ons. </w>
We'll </w> pass. </w>	Nous </w> réussir ons. </w>
We'll </w> swim. </w>	Nous </w> nager ons. </w>
We'll </w> wait. </w>	Nous </w> attend r ons. </w>
We'll </w> walk. </w>	Nous </w> marcher ons. </w>
We'll </w> work. </w>	Nous </w> travailler ons. </w>
We're </w> back. </w>	Nous </w> sommes </w> de </w> retour. </w>
We're </w> busy. </w>	Nous </w> sommes </w> occupés. </w>
We're </w> busy. </w>	Nous </w> sommes </w> occupées. </w>
We're </w> done. </w>	Nous </w> avons </w> fini. </w>
We're </w> done. </w>	Nous </w> avons </w> terminé. </w>
We're </w> done. </w>	Nous </w> en </w> avons </w> fini. </w>
We're </w> done. </w>	Nous </w> en </w> avons </w> terminé. </w>
We're </w> e ven. </w>	Nous </w> sommes </w> quitt es. </w>
We're </w> fine. </w>	Nous </w> allons </w> bien. </w>
We're </w> here. </w>	Nous </w> sommes </w> ici. </w>
We're </w> here. </w>	Nous </w> sommes </w> là. </w>
We're </w> home. </w>	Nous </w> sommes </w> chez </w> nous. </w>
We're </w> late. </w>	Nous </w> sommes </w> en </w> retard. </w>
We're </w> lazy. </w>	Nous </w> sommes </w> paresseux. </w>
We're </w> lazy. </w>	Nous </w> sommes </w> fainé antes. </w>
We're </w> lost. </w>	Nous </w> sommes </w> perdu s. </w>
We're </w> lost. </w>	Nous </w> sommes </w> perdu es. </w>
We're </w> rich. </w>	Nous </w> sommes </w> riches. </w>
We're </w> safe. </w>	Nous </w> sommes </w> en </w> sécurité. </w>
We're </w> sun k. </w>	On </w> est </w> fou tu. </w>
We're </w> sun k. </w>	Nous </w> sommes </w> fou tu s. </w>
We're </w> weak. </w>	Nous </w> sommes </w> faibles. </w>
What </w> a </w> day ! </w>	Quelle </w> journée </w> ! </w>
What </w> is </w> it? </w>	Qu'est-ce </w> que </w> c'est </w> ? </w>
What </w> is </w> it? </w>	Qu'est-ce </w> ? </w>
What </w> is </w> it? </w>	Qu'est </w> ce </w> c'est </w> ? </w>
What's </w> new? </w>	Quoi </w> de </w> nouveau </w> ? </w>
Where </w> am </w> I? </w>	Où </w> suis-je </w> ? </w>
Who </w> are </w> we? </w>	Qui </w> sommes-nous </w> ? </w>
Who </w> did </w> it? </w>	Qui </w> l'a </w> fait </w> ? </w>
Who </w> did </w> it? </w>	Qui </w> a </w> fait </w> ça </w> ? </w>
Who </w> has </w> it? </w>	Qui </w> l'a </w> ? </w>
Who </w> is </w> Tom? </w>	C’est </w> qui, </w> Tom </w> ? </w>
Who </w> phon ed? </w>	Qui </w> a </w> téléphoné </w> ? </w>
Who </w> phon ed? </w>	Qui </w> est-ce </w> qui </w> a </w> téléphoné </w> ? </w>
Who </w> saw </w> me? </w>	Qui </w> m'a </w> vu </w> ? </w>
Who </w> stayed? </w>	Qui </w> est </w> resté </w> ? </w>
Who </w> talked ? </w>	Qui </w> a </w> parlé </w> ? </w>
Who </w> ye lle d? </w>	Qui </w> a </w> hur lé </w> ? </w>
Who's </w> here? </w>	Qui </w> est </w> là </w> ? </w>
Who's </w> that? </w>	Qui </w> est-ce </w> ? </w>
Who's </w> that? </w>	C’est </w> qui </w> ? </w>
Why </w> bother ? </w>	Pourquoi </w> s'en </w> soucier </w> ? </w>
You </w> decide. </w>	Toi , </w> déci de. </w>
You </w> decide. </w>	Vous , </w> déci dez. </w>
You </w> did </w> it! </w>	C'est </w> toi </w> qui </w> l'as </w> fait </w> ! </w>
You </w> did </w> it! </w>	C'est </w> vous </w> qui </w> l'avez </w> fait </w> ! </w>
You </w> may </w> go. </w>	Vous </w> pouvez </w> partir. </w>
You </w> may </w> go. </w>	Tu </w> peux </w> y </w> aller. </w>
You </w> may </w> go. </w>	Tu </w> peux </w> partir. </w>
You </w> may </w> go. </w>	Tu </w> peux </w> t'en </w> aller. </w>
You </w> may </w> go. </w>	Vous </w> pouvez </w> vous </w> en </w> aller. </w>
You </w> may </w> go. </w>	Vous </w> pouvez </w> y </w> aller. </w>
You're </w> bad. </w>	Tu </w> es </w> vi la in. </w>
You're </w> big. </w>	Tu </w> es </w> grand. </w>
You're </w> big. </w>	Tu </w> es </w> grande. </w>
You're </w> big. </w>	Vous </w> êtes </w> grand. </w>
You're </w> big. </w>	Vous </w> êtes </w> grande. </w>
You're </w> big. </w>	Vous </w> êtes </w> grand s. </w>
You're </w> big. </w>	Vous </w> êtes </w> grand es. </w>
You're </w> fun. </w>	T'es </w> mar rante. </w>
You're </w> fun. </w>	T'es </w> marrant. </w>
You're </w> old. </w>	Tu </w> es </w> vieux. </w>
You're </w> old. </w>	Tu </w> es </w> vieille. </w>
You're </w> old. </w>	Vous </w> êtes </w> vieux. </w>
You're </w> old. </w>	Vous </w> êtes </w> vie illes. </w>
You're </w> old. </w>	Vous </w> êtes </w> vieille. </w>
You're </w> sad. </w>	Tu </w> es </w> triste. </w>
You're </w> sad. </w>	Vous </w> êtes </w> triste. </w>
You're </w> shy. </w>	Tu </w> es </w> timide. </w>
You're </w> shy. </w>	Vous </w> êtes </w> timide. </w>
You've </w> won! </w>	Vous </w> avez </w> gagné </w> ! </w>
You've </w> won! </w>	Tu </w> as </w> gagné </w> ! </w>
All </w> is </w> well. </w>	Tout </w> va </w> bien. </w>
Am </w> I </w> hungry ! </w>	J'ai </w> faim </w> ! </w>
Am </w> I </w> stupid? </w>	Suis-je </w> idiot </w> ? </w>
Am </w> I </w> stupid? </w>	Suis-je </w> idiote </w> ? </w>
Anyone </w> home? </w>	Quiconque </w> est-il </w> dans </w> la </w> maison </w> ? </w>
Anyone </w> home? </w>	Quiconque </w> est-il </w> à </w> la </w> maison </w> ? </w>
Anyone </w> home? </w>	Qui </w> que </w> ce </w> soit </w> est-il </w> à </w> la </w> maison </w> ? </w>
Anyone </w> hurt? </w>	Quiconque </w> est-il </w> blessé </w> ? </w>
Anyone </w> hurt? </w>	Qui </w> que </w> ce </w> soit </w> est-il </w> blessé </w> ? </w>
Are </w> we </w> done? </w>	Avons-nous </w> terminé </w> ? </w>
Are </w> we </w> done? </w>	En </w> avons-nous </w> terminé </w> ? </w>
Are </w> we </w> lost? </w>	Sommes-nous </w> per dus </w> ? </w>
Are </w> we </w> lost? </w>	Sommes-nous </w> perdu es </w> ? </w>
Are </w> we </w> safe? </w>	Sommes-nous </w> en </w> sécurité </w> ? </w>
Are </w> you </w> Tom? </w>	Êtes-vous </w> Tom </w> ? </w>
Are </w> you </w> Tom? </w>	Est-ce </w> que </w> tu </w> es </w> Tom </w> ? </w>
Are </w> you </w> hot? </w>	As-tu </w> chaud </w> ? </w>
Are </w> you </w> hot? </w>	Avez-vous </w> chaud </w> ? </w>
Are </w> you </w> mad? </w>	Êtes-vous </w> fou </w> ? </w>
Are </w> you </w> mad? </w>	Es-tu </w> folle </w> ? </w>
Are </w> you </w> mad? </w>	Êtes-vous </w> folle </w> ? </w>
Are </w> you </w> new? </w>	Tu </w> es </w> nouveau </w> ? </w>
Are </w> you </w> sad? </w>	Es-tu </w> triste </w> ? </w>
As </w> you </w> like. </w>	Comme </w> tu </w> veux. </w>
As </w> you </w> like. </w>	Comme </w> vous </w> voulez. </w>
Ask </w> anybody. </w>	Demande </w> à </w> n'importe </w> qui </w> ! </w>
Ask </w> anybody. </w>	Demandez </w> à </w> n'importe </w> qui </w> ! </w>
Ask </w> anybody. </w>	Demande </w> à </w> qui </w> que </w> ce </w> soit </w> ! </w>
Ask </w> anybody. </w>	Demandez </w> à </w> qui </w> que </w> ce </w> soit </w> ! </w>
Be </w> creative. </w>	Soyez </w> cré ati ves </w> ! </w>
Be </w> creative. </w>	Soyez </w> cré atif s </w> ! </w>
Be </w> creative. </w>	Soyez </w> cré ative </w> ! </w>
Be </w> creative. </w>	Soyez </w> cré atif </w> ! </w>
Be </w> creative. </w>	Sois </w> cré ative </w> ! </w>
Be </w> creative. </w>	Sois </w> cré atif </w> ! </w>
Be </w> discreet. </w>	Sois </w> disc ret </w> ! </w>
Be </w> discreet. </w>	Sois </w> dis cr ète </w> ! </w>
Be </w> discreet. </w>	Soyez </w> disc ret </w> ! </w>
Be </w> discreet. </w>	Soyez </w> dis cr ète </w> ! </w>
Be </w> discreet. </w>	Soyez </w> disc ret s </w> ! </w>
Be </w> discreet. </w>	Soyez </w> dis cr è tes </w> ! </w>
Be </w> friendly. </w>	Soyez </w> amical es </w> ! </w>
Be </w> friendly. </w>	Soyez </w> amic aux </w> ! </w>
Be </w> friendly. </w>	Soyez </w> amic ale </w> ! </w>
Be </w> friendly. </w>	Soyez </w> amical </w> ! </w>
Be </w> friendly. </w>	Sois </w> amic ale </w> ! </w>
Be </w> friendly. </w>	Sois </w> amical </w> ! </w>
Be </w> merciful. </w>	Sois </w> clé ment </w> ! </w>
Be </w> merciful. </w>	Sois </w> clé mente </w> ! </w>
Be </w> merciful. </w>	Soyez </w> clé ment </w> ! </w>
Be </w> merciful. </w>	Soyez </w> clé ments </w> ! </w>
Be </w> merciful. </w>	Soyez </w> clé mente </w> ! </w>
Be </w> merciful. </w>	Soyez </w> clé ment es </w> ! </w>
Be </w> merciful. </w>	Soyez </w> mis éric or die uses </w> ! </w>
Be </w> merciful. </w>	Soyez </w> mis éric or die use </w> ! </w>
